dataset_key,city,strategy,sample_size,time_aggregation,time_index,reference_mean_ugm3,subset_mean_ugm3,n_reference_valid,n_subset_valid,ape_pct,absolute_error_ugm3
dhaka_lcs,Dhaka,random_fixed,5,period,study_period,55.14721850399361,66.87123916677436,35,5,21.25949591080778,11.724020662780752
dhaka_lcs,Dhaka,max_ess,5,period,study_period,55.14721850399361,62.224883001758485,35,5,12.834127794228342,7.077664497764879
dhaka_lcs,Dhaka,min_pred_var,5,period,study_period,55.14721850399361,60.90726939478003,35,5,10.444862038453122,5.760050890786424
dhaka_lcs,Dhaka,min_ess,5,period,study_period,55.14721850399361,48.354421386047264,35,5,12.317569774537999,6.792797117946343
dhaka_lcs,Dhaka,random_fixed,10,period,study_period,55.14721850399361,60.551699042282124,35,10,9.800096332867886,5.404480538288517
dhaka_lcs,Dhaka,max_ess,10,period,study_period,55.14721850399361,59.92654911229063,35,10,8.666494408871985,4.779330608297023
dhaka_lcs,Dhaka,min_pred_var,10,period,study_period,55.14721850399361,56.8402375076375,35,10,3.0699989039724396,1.6930190036438901
dhaka_lcs,Dhaka,min_ess,10,period,study_period,55.14721850399361,49.019750610725374,35,10,11.111109607140927,6.127467893268232
dhaka_lcs,Dhaka,random_fixed,20,period,study_period,55.14721850399361,58.01153947149751,35,20,5.193953648444616,2.8643209675039003
dhaka_lcs,Dhaka,max_ess,20,period,study_period,55.14721850399361,56.08928632298008,35,20,1.7082780320429962,0.9420678189864731
dhaka_lcs,Dhaka,min_pred_var,20,period,study_period,55.14721850399361,58.107759870104516,35,20,5.368432799374125,2.9605413661109097
dhaka_lcs,Dhaka,min_ess,20,period,study_period,55.14721850399361,52.09622548285721,35,20,5.532451325564961,3.0509930211363994
lucknow_lcs,Lucknow,random_fixed,5,period,study_period,61.802242631595966,57.318472250995356,71,5,7.255028603619497,4.48377038060061
lucknow_lcs,Lucknow,max_ess,5,period,study_period,61.802242631595966,66.3056335860974,71,5,7.286775953012273,4.503390954501434
lucknow_lcs,Lucknow,min_pred_var,5,period,study_period,61.802242631595966,59.10560124658266,71,5,4.3633390475617935,2.696641385013308
lucknow_lcs,Lucknow,min_ess,5,period,study_period,61.802242631595966,72.99691410883874,71,5,18.113697821573183,11.194671477242771
lucknow_lcs,Lucknow,random_fixed,10,period,study_period,61.802242631595966,67.71572339954172,71,10,9.568391883763978,5.9134807679457495
lucknow_lcs,Lucknow,max_ess,10,period,study_period,61.802242631595966,68.5896584640619,71,10,10.98247497736581,6.787415832465932
lucknow_lcs,Lucknow,min_pred_var,10,period,study_period,61.802242631595966,62.608092365925074,71,10,1.303916654178376,0.805849734329108
lucknow_lcs,Lucknow,min_ess,10,period,study_period,61.802242631595966,64.29024197525102,71,10,4.025742817272916,2.487999343655055
lucknow_lcs,Lucknow,random_fixed,20,period,study_period,61.802242631595966,55.631990065905256,71,20,9.983865152712454,6.17025256569071
lucknow_lcs,Lucknow,max_ess,20,period,study_period,61.802242631595966,64.3933860058053,71,20,4.192636486761772,2.591143374209331
lucknow_lcs,Lucknow,min_pred_var,20,period,study_period,61.802242631595966,64.41971266848968,71,20,4.235234718740693,2.617470036893714
lucknow_lcs,Lucknow,min_ess,20,period,study_period,61.802242631595966,63.31850456638948,71,20,2.4534092457323444,1.516261934793512
chicago_lcs_corrected_no_collocation,Chicago,random_fixed,5,period,study_period,10.253490712654873,10.767823529411766,277,5,5.016172844649896,0.5143328167568928
chicago_lcs_corrected_no_collocation,Chicago,max_ess,5,period,study_period,10.253490712654873,9.798830564124577,277,5,4.434198667280733,0.4546601485302961
chicago_lcs_corrected_no_collocation,Chicago,min_pred_var,5,period,study_period,10.253490712654873,10.65722990834946,277,5,3.937578011323422,0.4037391956945875
chicago_lcs_corrected_no_collocation,Chicago,min_ess,5,period,study_period,10.253490712654873,9.869390618801418,277,5,3.7460422466604277,0.3841000938534549
chicago_lcs_corrected_no_collocation,Chicago,random_fixed,10,period,study_period,10.253490712654873,10.562891944323853,277,10,3.017520962759705,0.30940123166898026
chicago_lcs_corrected_no_collocation,Chicago,max_ess,10,period,study_period,10.253490712654873,9.205902108042682,277,10,10.216897191112245,1.0475886046121907
chicago_lcs_corrected_no_collocation,Chicago,min_pred_var,10,period,study_period,10.253490712654873,10.263081865939435,277,10,0.09354037130715753,0.009591153284562282
chicago_lcs_corrected_no_collocation,Chicago,min_ess,10,period,study_period,10.253490712654873,10.332335869960724,277,10,0.7689591722021114,0.07884515730585129
chicago_lcs_corrected_no_collocation,Chicago,random_fixed,20,period,study_period,10.253490712654873,10.236249792402242,277,20,0.1681468363876501,0.017240920252630687
chicago_lcs_corrected_no_collocation,Chicago,max_ess,20,period,study_period,10.253490712654873,9.321133039315459,277,20,9.093075709218686,0.9323576733394141
chicago_lcs_corrected_no_collocation,Chicago,min_pred_var,20,period,study_period,10.253490712654873,10.312450357486757,277,20,0.5750202197883261,0.05895964483188365
chicago_lcs_corrected_no_collocation,Chicago,min_ess,20,period,study_period,10.253490712654873,10.403372361305347,277,20,1.461762173007971,0.14988164865047438
