dataset_key,city,sample_size,time_aggregation,strategy,strategy_label,ape_value_pct,random_mc_ape_value_pct,random_baseline_strategy,ape_delta_vs_random_pct_points,absolute_error_value_ugm3,random_mc_absolute_error_value_ugm3,absolute_error_delta_vs_random_ugm3,beats_random_by_ape
chicago_lcs_corrected_no_collocation,Chicago,5,daily,random_fixed,Random,4.817128946399313,3.300231801860569,random_fixed_mc,1.5168971445387438,0.37654908440038515,0.2912309338388963,0.08531815056148884,False
chicago_lcs_corrected_no_collocation,Chicago,5,daily,max_ess,Max ESS,4.117656325631459,3.300231801860569,random_fixed_mc,0.8174245237708897,0.37789623127849037,0.2912309338388963,0.08666529743959406,False
chicago_lcs_corrected_no_collocation,Chicago,5,daily,min_pred_var,Min Pred. Var.,3.017423162036103,3.300231801860569,random_fixed_mc,-0.282808639824466,0.2779636617749839,0.2912309338388963,-0.013267272063912428,True
chicago_lcs_corrected_no_collocation,Chicago,5,daily,min_ess,Min ESS,5.448369218455424,3.300231801860569,random_fixed_mc,2.148137416594855,0.4369155307724064,0.2912309338388963,0.1456845969335101,False
chicago_lcs_corrected_no_collocation,Chicago,5,period,random_fixed,Random,5.016172844649896,2.643134480493999,random_fixed_mc,2.3730383641558968,0.5143328167568928,0.2710135484804308,0.243319268276462,False
chicago_lcs_corrected_no_collocation,Chicago,5,period,max_ess,Max ESS,4.434198667280733,2.643134480493999,random_fixed_mc,1.791064186786734,0.4546601485302961,0.2710135484804308,0.18364660004986533,False
chicago_lcs_corrected_no_collocation,Chicago,5,period,min_pred_var,Min Pred. Var.,3.937578011323422,2.643134480493999,random_fixed_mc,1.2944435308294229,0.4037391956945875,0.2710135484804308,0.1327256472141567,False
chicago_lcs_corrected_no_collocation,Chicago,5,period,min_ess,Min ESS,3.7460422466604277,2.643134480493999,random_fixed_mc,1.1029077661664286,0.3841000938534549,0.2710135484804308,0.1130865453730241,False
chicago_lcs_corrected_no_collocation,Chicago,10,daily,random_fixed,Random,3.2738078632300187,2.427708676229747,random_fixed_mc,0.8460991870002719,0.29412368457017823,0.21483574801361205,0.07928793655656619,False
chicago_lcs_corrected_no_collocation,Chicago,10,daily,max_ess,Max ESS,8.843018310036065,2.427708676229747,random_fixed_mc,6.415309633806318,0.7789494195688227,0.21483574801361205,0.5641136715552106,False
