dataset_key,city,sample_size,strategy,strategy_label,selection_order,sensor_index,sensor_id,station_name,latitude,longitude
dhaka_lcs,Dhaka,20,min_pred_var,Min Pred. Var.,8,12,81432130035,12. Bashundhara RA,23.8173532,90.4253786
dhaka_lcs,Dhaka,20,min_pred_var,Min Pred. Var.,9,13,81432130036,10. Dholaipar,23.70073734,90.43335436
dhaka_lcs,Dhaka,20,min_pred_var,Min Pred. Var.,10,14,81432130042,15. Mohammadpur,23.7554521,90.3592816
dhaka_lcs,Dhaka,20,min_pred_var,Min Pred. Var.,11,15,81432130043,"17. Mirpur, Botanical",23.82199,90.34855
dhaka_lcs,Dhaka,20,min_pred_var,Min Pred. Var.,12,18,81432151010,"42. Nakhalpara, bonoful ",23.767592,90.394612
dhaka_lcs,Dhaka,20,min_pred_var,Min Pred. Var.,13,19,81432151014,64. Satarkul,23.793826,90.448119
dhaka_lcs,Dhaka,20,min_pred_var,Min Pred. Var.,14,20,81432151017,"39. Khilgaon, Goran",23.748597,90.434691
dhaka_lcs,Dhaka,20,min_pred_var,Min Pred. Var.,15,21,81432151018,69. Kazlarpar School,23.713381,90.441829
dhaka_lcs,Dhaka,20,min_pred_var,Min Pred. Var.,16,24,81432151044,"75. Uttara, Rd 12",23.87293,90.389886
dhaka_lcs,Dhaka,20,min_pred_var,Min Pred. Var.,17,27,81432151055,"61. Mugda, GMT",23.724946,90.447879
dhaka_lcs,Dhaka,20,min_pred_var,Min Pred. Var.,18,29,81432151066,41. Banani ,23.7870494,90.4036932
dhaka_lcs,Dhaka,20,min_pred_var,Min Pred. Var.,19,33,81432152014,"35. Mirpur, Pirerbag",23.7915802,90.3628839
dhaka_lcs,Dhaka,20,min_pred_var,Min Pred. Var.,20,34,81432152018,27. Mouchak,23.69853,90.49446
dhaka_lcs,Dhaka,20,min_ess,Min ESS,1,0,81432124031,1. Siddeshwari ,23.74354,90.40947
dhaka_lcs,Dhaka,20,min_ess,Min ESS,2,1,81432124034,2. Dhaka University ,23.72820547,90.39852372
dhaka_lcs,Dhaka,20,min_ess,Min ESS,3,2,81432130001,25. Shahnoori model high school,23.7507652,90.4032229
dhaka_lcs,Dhaka,20,min_ess,Min ESS,4,4,81432130015,18. North Badda,23.786668,90.424733
dhaka_lcs,Dhaka,20,min_ess,Min ESS,5,7,81432130025,21. Jagannath University,23.708545,90.410324
dhaka_lcs,Dhaka,20,min_ess,Min ESS,6,8,81432130028,7. South Nilkhet,23.72951094,90.38810817
dhaka_lcs,Dhaka,20,min_ess,Min ESS,7,14,81432130042,15. Mohammadpur,23.7554521,90.3592816
dhaka_lcs,Dhaka,20,min_ess,Min ESS,8,17,81432150009,36. Sher-E-Bangla Nagar,23.773438,90.371157
dhaka_lcs,Dhaka,20,min_ess,Min ESS,9,18,81432151010,"42. Nakhalpara, bonoful ",23.767592,90.394612
dhaka_lcs,Dhaka,20,min_ess,Min ESS,10,20,81432151017,"39. Khilgaon, Goran",23.748597,90.434691
dhaka_lcs,Dhaka,20,min_ess,Min ESS,11,22,81432151022,34. Farmgate,23.754638,90.388358
dhaka_lcs,Dhaka,20,min_ess,Min ESS,12,23,81432151024,62. Curzon hall,23.727105,90.402772
dhaka_lcs,Dhaka,20,min_ess,Min ESS,13,25,81432151048,33. DU Club,23.732466,90.389458
dhaka_lcs,Dhaka,20,min_ess,Min ESS,14,26,81432151051,40. Anondo Bazar,23.7241575,90.4034797
dhaka_lcs,Dhaka,20,min_ess,Min ESS,15,28,81432151062,74. CARS,23.729204,90.398569
dhaka_lcs,Dhaka,20,min_ess,Min ESS,16,29,81432151066,41. Banani ,23.7870494,90.4036932
dhaka_lcs,Dhaka,20,min_ess,Min ESS,17,30,81432151072,63. Khilkhet,23.72791258,90.39793792
dhaka_lcs,Dhaka,20,min_ess,Min ESS,18,31,81432151074,46. Maniknagar,23.721511,90.428814
dhaka_lcs,Dhaka,20,min_ess,Min ESS,19,32,81432152006,73. Science Lab,23.74006,90.38504
dhaka_lcs,Dhaka,20,min_ess,Min ESS,20,33,81432152014,"35. Mirpur, Pirerbag",23.7915802,90.3628839
lucknow_lcs,Lucknow,5,random_fixed,Random,1,1,81432130004,"B R Ambedkar University, Lucknow - UPPCB",26.76643,80.9273
lucknow_lcs,Lucknow,5,random_fixed,Random,2,19,81432144008,Chak Ganjaria,26.79835,81.02416
lucknow_lcs,Lucknow,5,random_fixed,Random,3,29,81432144023,Mohammadpur,27.02779,80.93745
