Sensor_ID,Latitude,Longitude,Station_Name
DIHMX0551,41.891075,-87.70279956945,Humboldt Park 3
DIIPF3878,41.9859255,-87.65593,Edgewater 2
DIPDE7442,41.965175,-87.876252,Schiller Park Collocation 3
DIQKT3554,41.92154965,-87.65448778151,Lincoln Park 1
DIRJX6254,41.76421335,-87.61966303202,Greater Grand Crossing 2
DITUM6528,41.87833905,-87.6855286518,Near West Side 1
DITUY8368,41.98910785,-87.70794851144,West Ridge 5
DIUDG6358,41.8528468,-87.7363577,North Lawndale 5
DIUZJ7853,41.7903843,-87.77048382046,Garfield Ridge 2
DIVZD0266,41.81559185,-87.736277095,Archer Heights 1
DIWKR9442,41.7626353,-87.73788222688,West Lawn 4
DIWYY0447,41.9896707,-87.69002591531,West Ridge 4
DIXEX6164,41.72612465,-87.5862367414,Calumet Heights 1
DIXUN6634,41.7521062,-87.70393644313,Ashburn 3
DIZEF3591,41.67596525,-87.62018065,West Pullman 3
DJCYU2364,41.82725075,-87.61890358618,Douglas 2
DJGDZ3688,41.70133845,-87.61992013972,Roseland 3
DJHFB1439,41.66730025,-87.56938199593,South Deering 6
DJIHM1001,41.9083288,-87.6905694159,West Town 1
DJJVG1917,41.9893028,-87.67229309826,Edgewater 1
DJJWX4142,41.83003975,-87.72139660669,South Lawndale 4
DJKZD4256,41.67869235,-87.67466474951,Morgan Park 3
DJSLY4013,41.85292095,-87.70311062197,South Lawndale 1
DJWGZ0445,41.81458865,-87.61885441048,Grand Boulevard 1
DKDJK5693,41.726565,-87.61949170539,Roseland 1
DKHYU9123,41.7775443,-87.75395070108,Clearing 3
DKIJX6114,41.9756734,-87.69009047047,Lincoln Square 1
DKISS7174,41.7898683,-87.72002286796,West Elsdon 2
DKNMF4367,41.82675732205,-87.60127391431,Oakland 1
DKRXT7147,41.68874295,-87.62059497345,Roseland 4
DKTWP2892,41.7006795,-87.53620860009,East Side 3
DKUAZ4434,42.01665715,-87.7077947,West Ridge 1
DKWDP4373,41.93506775,-87.65427066335,Lake View 4
DKXFR1580,41.91611105,-87.71889889178,Logan Square 4
DLAIF4030,41.965175,-87.876252,Schiller Park Collocation 2
DLDVK7370,41.75137435,-87.55253841883,South Chicago 2
DLFZU4679,41.7772125,-87.66997231765,West Englewood 2
DLIKU5639,41.95008034764,-87.85424652587,O'Hare 3
DLJWW1620,41.78957595,-87.6348940749,Englewood 2
DLNMW9381,41.7138256,-87.65385383114,Washington Heights 5
DLTCH1397,41.77677010296,-87.58579570606,Woodlawn 2
DLUKV4510,41.72602304045,-87.55256172786,Calumet Heights 3
DLVFF5341,41.80223545,-87.61894770389,Grand Boulevard 2
