dataset_key,city,days_evaluated,median_n_valid_sensors,median_skewness_original,median_skewness_log,median_excess_kurtosis_original,median_excess_kurtosis_log,median_jb_original_p,median_jb_log_p,median_shapiro_original_p,median_shapiro_log_p,days_jb_original_p_ge_0p1,days_jb_log_p_ge_0p1,days_shapiro_original_p_ge_0p1,days_shapiro_log_p_ge_0p1,fraction_days_log_preferred,fraction_days_log_preferred_by_shapiro,median_qq_correlation_original,median_qq_correlation_log
chicago_lcs_corrected_no_collocation,Chicago,273,270.0,1.0206670407273504,-0.10783484898301818,9.20238931436107,9.090761947269463,2.731108917450101e-221,1.9037409642334356e-220,4.54852720290148e-13,6.369031208064601e-13,1,5,1,6,0.37362637362637363,0.5714285714285714,0.9407292737923176,0.9428336923346506
dhaka_lcs,Dhaka,365,33.0,1.0350766302954866,0.12050852419279397,1.3400995992702276,1.051769131370695,0.018015860672205633,0.07177864091048157,0.00407684283483996,0.015984687991638793,123,173,94,116,0.6465753424657534,0.6493150684931507,0.9408944517436257,0.9550920753554607
lucknow_lcs,Lucknow,365,56.0,0.9019909803718053,0.25761738972588677,1.2753465317604444,0.8994203664432745,0.004894914494919633,0.08739193800533489,0.004741151667049227,0.07900293679033624,110,179,80,174,0.7917808219178082,0.8,0.9667086121395155,0.9799458211515399
