dataset_key,city,date,n_valid_sensors,mean_ugm3,median_ugm3,sd_ugm3,skewness_original,excess_kurtosis_original,jarque_bera_original,jarque_bera_original_p,shapiro_wilk_original,shapiro_wilk_original_p,qq_correlation_original,skewness_log,excess_kurtosis_log,jarque_bera_log,jarque_bera_log_p,shapiro_wilk_log,shapiro_wilk_log_p,qq_correlation_log,preferred_scale_by_jb_p,preferred_scale_by_shapiro_p
dhaka_lcs,Dhaka,2022-04-01,16,31.787641800379575,31.055706521739133,4.973397407943584,1.2413260831401334,1.399871104639641,5.415467258894073,0.06668777478461788,0.8794234635321574,0.03801121849505178,0.932509025670748,0.8318727238356364,0.4867665953153999,2.00332708864122,0.36726796616531443,0.9314908230439438,0.2573931783769679,0.9616077295389142,log,log
dhaka_lcs,Dhaka,2022-04-02,16,46.53985305059524,41.65625,21.056077622791786,2.5516938723800484,6.213564313815372,43.10196530352495,4.3704600500521087e-10,0.6213233289916593,2.5909133429633345e-05,0.7750107716412338,1.6803837338866372,2.911184684898622,13.179836161354316,0.0013741525286551516,0.8106119896434321,0.0037807185248397174,0.8923105858960102,log,log
dhaka_lcs,Dhaka,2022-04-03,16,35.74955018939394,35.265625,6.143125501458297,0.2690373662962726,-1.2267539631216446,1.1962998025928002,0.549827931624119,0.9398928363249284,0.3477031982277267,0.9765394717297237,0.0656790517435246,-1.3395570494826223,1.2077786934468686,0.5466812629208773,0.9461864116900305,0.4317788977666919,0.9801491300403189,original,log
dhaka_lcs,Dhaka,2022-04-04,16,25.321808260710476,25.68402777777778,3.1605698736799566,-0.0015408954181547335,-1.2905905114476512,1.1104222437823126,0.573951074767996,0.962524967742785,0.707765418005113,0.9867291271774445,-0.15942293836688756,-1.254550657245193,1.1170400298029834,0.5720550706357416,0.9596555557359931,0.6555423657785766,0.9851886698403386,original,original
dhaka_lcs,Dhaka,2022-04-05,15,31.12926731078905,29.427083333333332,5.532742766866851,1.3834535369256749,0.7023967007944534,5.093209925384732,0.07834720667545933,0.7714239502157657,0.0016169983957662977,0.8778669042911649,1.1672784694034566,0.3161813014478314,3.468829197447969,0.17650349542027874,0.8302393345603923,0.009230769508262059,0.9112649385966167,log,log
dhaka_lcs,Dhaka,2022-04-06,15,37.412817486458785,33.895833333333336,11.350697257325512,1.1876229593310876,0.18279478227100077,3.5470044415917643,0.16973748848523615,0.8170748295422943,0.006140881896757757,0.904399791155455,0.8661255001922344,-0.5146939067779956,2.0410020912546183,0.3604143109106047,0.8793804484510055,0.046446526172286375,0.940803766073084,log,log
dhaka_lcs,Dhaka,2022-04-07,15,37.293493357487925,34.302083333333336,8.899043049369336,0.780437034180497,-0.4384593529285019,1.642859038407676,0.43980249880012795,0.9213777351709785,0.20217636912739925,0.9616266523011311,0.44711399223694404,-0.9608238662897386,1.076766368905121,0.5836912108982574,0.9582585633703453,0.6621623466068621,0.9823138038634512,log,log
dhaka_lcs,Dhaka,2022-04-08,16,33.34919704861112,31.171875,8.334370182138986,0.7693523299428503,-0.8303350092030874,2.0380455052415067,0.36094750287576216,0.8620671924339496,0.02060768970105507,0.935305830673771,0.5415662024131234,-1.1672671107582042,1.6904588761616628,0.429458812700343,0.8941791526387092,0.06488989400907307,0.9536412489001442,log,log
dhaka_lcs,Dhaka,2022-04-09,16,20.759639190821254,18.60625,7.6773191234955425,1.5358369653498127,1.6095423979137617,8.01720497814778,0.018158754570617715,0.788876478108874,0.0019456369993665742,0.8849682888912009,1.0139229589413987,0.04673499880239218,2.7428954845246563,0.25373934433855383,0.8832275982774782,0.04358006775675552,0.9407519993420232,log,log
dhaka_lcs,Dhaka,2022-04-10,16,23.78986450785024,22.83159722222222,6.303970275076599,1.1907606799375146,1.4046450993981079,5.096447895202751,0.07822046635320663,0.8780266828802178,0.03615807441619349,0.9316374073309007,0.5370028839396358,-0.18347622676415298,0.7914346101503696,0.6731969784093719,0.9485104107423709,0.4664635437368463,0.9715652152148582,log,log
